student_id,name,class,parent_name,parent_email,attendance_percent,avg_marks,failed_attempts,fee_paid_percent,risk_rule,risk_ml
1,Student_1,CIVIL,Parent_1,parent1@mail.com,74,40,3,59,High Risk,High Risk
2,Student_2,EEE,Parent_2,parent2@mail.com,84,64,4,96,Low Risk,Low Risk
3,Student_3,MECH,Parent_3,parent3@mail.com,94,26,0,53,Medium Risk,Medium Risk
4,Student_4,EEE,Parent_4,parent4@mail.com,48,100,0,51,Medium Risk,Medium Risk
5,Student_5,EEE,Parent_5,parent5@mail.com,92,83,3,52,Medium Risk,Medium Risk
6,Student_6,ECE,Parent_6,parent6@mail.com,77,83,0,56,Low Risk,Low Risk
7,Student_7,MECH,Parent_7,parent7@mail.com,97,21,4,65,Medium Risk,Medium Risk
8,Student_8,MECH,Parent_8,parent8@mail.com,69,95,4,80,Medium Risk,Medium Risk
9,Student_9,MECH,Parent_9,parent9@mail.com,99,61,4,59,Medium Risk,Medium Risk
10,Student_10,EEE,Parent_10,parent10@mail.com,83,73,1,68,Low Risk,Low Risk
11,Student_11,CIVIL,Parent_11,parent11@mail.com,73,94,4,77,Medium Risk,Medium Risk
12,Student_12,MECH,Parent_12,parent12@mail.com,71,35,4,66,High Risk,High Risk
13,Student_13,EEE,Parent_13,parent13@mail.com,42,37,1,77,Medium Risk,Medium Risk
14,Student_14,ECE,Parent_14,parent14@mail.com,42,78,2,68,High Risk,High Risk
15,Student_15,CIVIL,Parent_15,parent15@mail.com,67,35,0,86,Medium Risk,Medium Risk
16,Student_16,ECE,Parent_16,parent16@mail.com,83,25,4,72,Low Risk,Low Risk
17,Student_17,CIVIL,Parent_17,parent17@mail.com,54,76,0,69,Medium Risk,Medium Risk
18,Student_18,EEE,Parent_18,parent18@mail.com,80,66,3,62,Medium Risk,Medium Risk
19,Student_19,CSE,Parent_19,parent19@mail.com,62,67,0,62,Medium Risk,Medium Risk
20,Student_20,CIVIL,Parent_20,parent20@mail.com,79,61,1,92,Low Risk,Low Risk
21,Student_21,ECE,Parent_21,parent21@mail.com,50,95,0,60,Medium Risk,Medium Risk
22,Student_22,EEE,Parent_22,parent22@mail.com,87,79,0,97,Low Risk,Low Risk
23,Student_23,CIVIL,Parent_23,parent23@mail.com,71,96,0,64,Medium Risk,Medium Risk
24,Student_24,CSE,Parent_24,parent24@mail.com,97,23,2,66,Medium Risk,Medium Risk
25,Student_25,CSE,Parent_25,parent25@mail.com,98,21,2,99,Low Risk,Low Risk
26,Student_26,MECH,Parent_26,parent26@mail.com,96,78,3,77,Low Risk,Low Risk
27,Student_27,MECH,Parent_27,parent27@mail.com,93,46,1,68,Medium Risk,Medium Risk
28,Student_28,ECE,Parent_28,parent28@mail.com,75,46,0,53,Medium Risk,Medium Risk
29,Student_29,CIVIL,Parent_29,parent29@mail.com,99,98,0,71,Low Risk,Low Risk
30,Student_30,CIVIL,Parent_30,parent30@mail.com,72,91,0,71,Low Risk,Low Risk
31,Student_31,MECH,Parent_31,parent31@mail.com,63,26,0,86,Medium Risk,Medium Risk
32,Student_32,CIVIL,Parent_32,parent32@mail.com,78,82,2,88,Low Risk,Low Risk
33,Student_33,CIVIL,Parent_33,parent33@mail.com,73,65,3,83,Medium Risk,Medium Risk
34,Student_34,CSE,Parent_34,parent34@mail.com,95,82,4,82,Low Risk,Low Risk
35,Student_35,MECH,Parent_35,parent35@mail.com,67,31,1,93,Medium Risk,Medium Risk
36,Student_36,EEE,Parent_36,parent36@mail.com,76,32,0,91,Low Risk,Low Risk
37,Student_37,MECH,Parent_37,parent37@mail.com,46,62,3,89,Medium Risk,Medium Risk
38,Student_38,EEE,Parent_38,parent38@mail.com,43,36,4,82,Medium Risk,Medium Risk
39,Student_39,CSE,Parent_39,parent39@mail.com,76,82,3,61,Medium Risk,Medium Risk
40,Student_40,ECE,Parent_40,parent40@mail.com,95,100,2,51,Medium Risk,Medium Risk
41,Student_41,CIVIL,Parent_41,parent41@mail.com,40,55,4,77,Medium Risk,Medium Risk
42,Student_42,CSE,Parent_42,parent42@mail.com,40,27,3,59,High Risk,High Risk
43,Student_43,CIVIL,Parent_43,parent43@mail.com,86,88,2,71,Low Risk,Low Risk
44,Student_44,ECE,Parent_44,parent44@mail.com,59,99,3,66,High Risk,High Risk
45,Student_45,ECE,Parent_45,parent45@mail.com,58,55,3,75,Medium Risk,Medium Risk
46,Student_46,CSE,Parent_46,parent46@mail.com,68,47,4,52,High Risk,High Risk
47,Student_47,ECE,Parent_47,parent47@mail.com,49,66,2,56,High Risk,High Risk
48,Student_48,EEE,Parent_48,parent48@mail.com,99,95,0,93,Low Risk,Low Risk
49,Student_49,ECE,Parent_49,parent49@mail.com,57,49,1,57,High Risk,High Risk
50,Student_50,CIVIL,Parent_50,parent50@mail.com,67,42,4,69,High Risk,High Risk
51,Student_51,CIVIL,Parent_51,parent51@mail.com,74,35,2,61,High Risk,High Risk
52,Student_52,CIVIL,Parent_52,parent52@mail.com,82,33,3,84,Low Risk,Low Risk
53,Student_53,CIVIL,Parent_53,parent53@mail.com,86,93,2,66,Medium Risk,Medium Risk
54,Student_54,EEE,Parent_54,parent54@mail.com,70,90,1,77,Low Risk,Low Risk
55,Student_55,MECH,Parent_55,parent55@mail.com,66,71,1,90,Low Risk,Low Risk
56,Student_56,CSE,Parent_56,parent56@mail.com,50,56,0,59,Medium Risk,Medium Risk
57,Student_57,CIVIL,Parent_57,parent57@mail.com,88,48,0,71,Low Risk,Low Risk
58,Student_58,ECE,Parent_58,parent58@mail.com,88,86,1,87,Low Risk,Low Risk
59,Student_59,CIVIL,Parent_59,parent59@mail.com,77,34,4,82,Low Risk,Low Risk
60,Student_60,ECE,Parent_60,parent60@mail.com,44,66,4,71,Medium Risk,Medium Risk
61,Student_61,ECE,Parent_61,parent61@mail.com,47,65,3,93,Medium Risk,Medium Risk
62,Student_62,CIVIL,Parent_62,parent62@mail.com,73,71,0,86,Low Risk,Low Risk
63,Student_63,EEE,Parent_63,parent63@mail.com,87,38,3,62,Medium Risk,Medium Risk
64,Student_64,ECE,Parent_64,parent64@mail.com,91,96,0,76,Low Risk,Low Risk
65,Student_65,ECE,Parent_65,parent65@mail.com,95,40,1,64,Medium Risk,Medium Risk
66,Student_66,CIVIL,Parent_66,parent66@mail.com,51,83,4,71,Medium Risk,Medium Risk
67,Student_67,ECE,Parent_67,parent67@mail.com,77,56,4,79,Low Risk,Low Risk
68,Student_68,ECE,Parent_68,parent68@mail.com,40,46,1,92,Medium Risk,Medium Risk
69,Student_69,CIVIL,Parent_69,parent69@mail.com,70,74,3,89,Medium Risk,Medium Risk
70,Student_70,CIVIL,Parent_70,parent70@mail.com,43,48,3,86,Medium Risk,Medium Risk
71,Student_71,CSE,Parent_71,parent71@mail.com,88,39,2,83,Low Risk,Low Risk
72,Student_72,EEE,Parent_72,parent72@mail.com,84,44,0,93,Low Risk,Low Risk
73,Student_73,EEE,Parent_73,parent73@mail.com,89,89,3,83,Low Risk,Low Risk
74,Student_74,ECE,Parent_74,parent74@mail.com,44,82,1,97,Low Risk,Low Risk
75,Student_75,EEE,Parent_75,parent75@mail.com,69,55,3,84,Medium Risk,Medium Risk
76,Student_76,ECE,Parent_76,parent76@mail.com,95,21,4,91,Low Risk,Low Risk
