student_id,name,class,parent_name,parent_email
1,Student_1,CIVIL,Parent_1,parent1@mail.com
2,Student_2,EEE,Parent_2,parent2@mail.com
3,Student_3,MECH,Parent_3,parent3@mail.com
4,Student_4,EEE,Parent_4,parent4@mail.com
5,Student_5,EEE,Parent_5,parent5@mail.com
6,Student_6,ECE,Parent_6,parent6@mail.com
7,Student_7,MECH,Parent_7,parent7@mail.com
8,Student_8,MECH,Parent_8,parent8@mail.com
9,Student_9,MECH,Parent_9,parent9@mail.com
10,Student_10,EEE,Parent_10,parent10@mail.com
11,Student_11,CIVIL,Parent_11,parent11@mail.com
12,Student_12,MECH,Parent_12,parent12@mail.com
13,Student_13,EEE,Parent_13,parent13@mail.com
14,Student_14,ECE,Parent_14,parent14@mail.com
15,Student_15,CIVIL,Parent_15,parent15@mail.com
16,Student_16,ECE,Parent_16,parent16@mail.com
17,Student_17,CIVIL,Parent_17,parent17@mail.com
18,Student_18,EEE,Parent_18,parent18@mail.com
19,Student_19,CSE,Parent_19,parent19@mail.com
20,Student_20,CIVIL,Parent_20,parent20@mail.com
21,Student_21,ECE,Parent_21,parent21@mail.com
22,Student_22,EEE,Parent_22,parent22@mail.com
23,Student_23,CIVIL,Parent_23,parent23@mail.com
24,Student_24,CSE,Parent_24,parent24@mail.com
25,Student_25,CSE,Parent_25,parent25@mail.com
26,Student_26,MECH,Parent_26,parent26@mail.com
27,Student_27,MECH,Parent_27,parent27@mail.com
28,Student_28,ECE,Parent_28,parent28@mail.com
29,Student_29,CIVIL,Parent_29,parent29@mail.com
30,Student_30,CIVIL,Parent_30,parent30@mail.com
31,Student_31,MECH,Parent_31,parent31@mail.com
32,Student_32,CIVIL,Parent_32,parent32@mail.com
33,Student_33,CIVIL,Parent_33,parent33@mail.com
34,Student_34,CSE,Parent_34,parent34@mail.com
35,Student_35,MECH,Parent_35,parent35@mail.com
36,Student_36,EEE,Parent_36,parent36@mail.com
37,Student_37,MECH,Parent_37,parent37@mail.com
38,Student_38,EEE,Parent_38,parent38@mail.com
39,Student_39,CSE,Parent_39,parent39@mail.com
40,Student_40,ECE,Parent_40,parent40@mail.com
41,Student_41,CIVIL,Parent_41,parent41@mail.com
42,Student_42,CSE,Parent_42,parent42@mail.com
43,Student_43,CIVIL,Parent_43,parent43@mail.com
44,Student_44,ECE,Parent_44,parent44@mail.com
45,Student_45,ECE,Parent_45,parent45@mail.com
46,Student_46,CSE,Parent_46,parent46@mail.com
47,Student_47,ECE,Parent_47,parent47@mail.com
48,Student_48,EEE,Parent_48,parent48@mail.com
49,Student_49,ECE,Parent_49,parent49@mail.com
50,Student_50,CIVIL,Parent_50,parent50@mail.com
51,Student_51,CIVIL,Parent_51,parent51@mail.com
52,Student_52,CIVIL,Parent_52,parent52@mail.com
53,Student_53,CIVIL,Parent_53,parent53@mail.com
54,Student_54,EEE,Parent_54,parent54@mail.com
55,Student_55,MECH,Parent_55,parent55@mail.com
56,Student_56,CSE,Parent_56,parent56@mail.com
57,Student_57,CIVIL,Parent_57,parent57@mail.com
58,Student_58,ECE,Parent_58,parent58@mail.com
59,Student_59,CIVIL,Parent_59,parent59@mail.com
60,Student_60,ECE,Parent_60,parent60@mail.com
61,Student_61,ECE,Parent_61,parent61@mail.com
62,Student_62,CIVIL,Parent_62,parent62@mail.com
63,Student_63,EEE,Parent_63,parent63@mail.com
64,Student_64,ECE,Parent_64,parent64@mail.com
65,Student_65,ECE,Parent_65,parent65@mail.com
66,Student_66,CIVIL,Parent_66,parent66@mail.com
67,Student_67,ECE,Parent_67,parent67@mail.com
68,Student_68,ECE,Parent_68,parent68@mail.com
69,Student_69,CIVIL,Parent_69,parent69@mail.com
70,Student_70,CIVIL,Parent_70,parent70@mail.com
71,Student_71,CSE,Parent_71,parent71@mail.com
72,Student_72,EEE,Parent_72,parent72@mail.com
73,Student_73,EEE,Parent_73,parent73@mail.com
74,Student_74,ECE,Parent_74,parent74@mail.com
75,Student_75,EEE,Parent_75,parent75@mail.com
76,Student_76,ECE,Parent_76,parent76@mail.com
77,Student_77,CSE,Parent_77,parent77@mail.com
78,Student_78,CIVIL,Parent_78,parent78@mail.com
79,Student_79,CIVIL,Parent_79,parent79@mail.com
80,Student_80,CIVIL,Parent_80,parent80@mail.com
81,Student_81,EEE,Parent_81,parent81@mail.com
82,Student_82,CSE,Parent_82,parent82@mail.com
83,Student_83,EEE,Parent_83,parent83@mail.com
84,Student_84,EEE,Parent_84,parent84@mail.com
85,Student_85,CSE,Parent_85,parent85@mail.com
86,Student_86,CSE,Parent_86,parent86@mail.com
87,Student_87,CSE,Parent_87,parent87@mail.com
88,Student_88,CSE,Parent_88,parent88@mail.com
89,Student_89,CIVIL,Parent_89,parent89@mail.com
90,Student_90,MECH,Parent_90,parent90@mail.com
91,Student_91,MECH,Parent_91,parent91@mail.com
92,Student_92,CSE,Parent_92,parent92@mail.com
93,Student_93,MECH,Parent_93,parent93@mail.com
94,Student_94,MECH,Parent_94,parent94@mail.com
95,Student_95,CSE,Parent_95,parent95@mail.com
96,Student_96,MECH,Parent_96,parent96@mail.com
97,Student_97,EEE,Parent_97,parent97@mail.com
98,Student_98,ECE,Parent_98,parent98@mail.com
99,Student_99,ECE,Parent_99,parent99@mail.com
100,Student_100,CSE,Parent_100,parent100@mail.com
101,Student_101,CIVIL,Parent_101,parent101@mail.com
102,Student_102,CSE,Parent_102,parent102@mail.com
103,Student_103,CIVIL,Parent_103,parent103@mail.com
104,Student_104,ECE,Parent_104,parent104@mail.com
105,Student_105,CSE,Parent_105,parent105@mail.com
106,Student_106,EEE,Parent_106,parent106@mail.com
107,Student_107,MECH,Parent_107,parent107@mail.com
108,Student_108,CIVIL,Parent_108,parent108@mail.com
109,Student_109,MECH,Parent_109,parent109@mail.com
110,Student_110,MECH,Parent_110,parent110@mail.com
111,Student_111,CSE,Parent_111,parent111@mail.com
112,Student_112,MECH,Parent_112,parent112@mail.com
113,Student_113,EEE,Parent_113,parent113@mail.com
114,Student_114,MECH,Parent_114,parent114@mail.com
115,Student_115,CSE,Parent_115,parent115@mail.com
116,Student_116,EEE,Parent_116,parent116@mail.com
117,Student_117,ECE,Parent_117,parent117@mail.com
118,Student_118,MECH,Parent_118,parent118@mail.com
119,Student_119,CSE,Parent_119,parent119@mail.com
120,Student_120,ECE,Parent_120,parent120@mail.com
121,Student_121,ECE,Parent_121,parent121@mail.com
122,Student_122,CIVIL,Parent_122,parent122@mail.com
123,Student_123,EEE,Parent_123,parent123@mail.com
124,Student_124,MECH,Parent_124,parent124@mail.com
125,Student_125,CSE,Parent_125,parent125@mail.com
126,Student_126,CIVIL,Parent_126,parent126@mail.com
127,Student_127,EEE,Parent_127,parent127@mail.com
128,Student_128,CIVIL,Parent_128,parent128@mail.com
129,Student_129,EEE,Parent_129,parent129@mail.com
130,Student_130,EEE,Parent_130,parent130@mail.com
131,Student_131,MECH,Parent_131,parent131@mail.com
132,Student_132,EEE,Parent_132,parent132@mail.com
133,Student_133,CIVIL,Parent_133,parent133@mail.com
134,Student_134,EEE,Parent_134,parent134@mail.com
135,Student_135,MECH,Parent_135,parent135@mail.com
136,Student_136,MECH,Parent_136,parent136@mail.com
137,Student_137,CIVIL,Parent_137,parent137@mail.com
138,Student_138,ECE,Parent_138,parent138@mail.com
139,Student_139,ECE,Parent_139,parent139@mail.com
140,Student_140,EEE,Parent_140,parent140@mail.com
141,Student_141,CSE,Parent_141,parent141@mail.com
142,Student_142,EEE,Parent_142,parent142@mail.com
143,Student_143,CIVIL,Parent_143,parent143@mail.com
